What did Microsoft win?  Nothing
Why will the fox talk?  How should I know?
How does the tablet do?  How should I know how the tablet do does.
How does David Cameron made of?  How should I know how David Cameron made from does
How does Hillary Clinton eat?  How should I know how Hillary Clinton eat does.
Why will sheep type?  Good chance.
Why will the president attack enemies?  With a nuclear warhead
How will the moon do things?  By using Grammerly
Why will the horse use computers?  Horses will never use computers
Why does laptops use computers?  That makes no sense
How does the tablet eat?  My tablet eats by chewing up power like a crazed maniac
Why does celebrities do things?  They want to be famous
How does the fox be happy?  It lives in the moment
How will lions eat?  with their paws
Why does Windows do new things?  becuse it want's you to spend more money
Why does animals work?  because they don't want to be tired
How will the prime minister made of?  doesn't make sense
Why will desktops acheive?  what?
Why will the prime minister do coding?  
How does animals meet people?  At the zoo
How does Theresa May do programming?  On a computer
How will Bear Grylls win?  I don't know
How will Bear Grylls make?  Bear Grylls makes adventure seem like a peice of cake
How will Hillary Clinton attack enemies?  With nukes
How will Bear Grylls eat?  With his mouth
How will celebrities acheive?  Using smartphones
Why will fruit drink?  They will use straws
How does Trump acheive?  How should I know how Trump acheive does.
How does the iPad make?  How should I know how the iPad make does.
How will the cow speak?  A lot of practise.
How will Bear Grylls acheive?  A lot of practise.
Why will strawberries be happy?  
Why will Trump walk?  You just have to try.
How will the iPod do?  I don't know. Do you?
